block,pot,fertility,native_dens,exotic_dens,total_dens,exotic_species_code,competition
B,B40,LOW,9,3,12,BDIA,inter
B,B41,MED,9,3,12,BDIA,inter
B,B42,HIGH,9,3,12,BDIA,inter
B,B43,LOW,0,3,3,ABAR,intra
B,B44,MED,0,3,3,ABAR,intra
B,B45,HIGH,0,3,3,ABAR,intra
B,B46,LOW,0,6,6,ABAR,intra
B,B47,MED,0,6,6,ABAR,intra
B,B48,HIGH,0,6,6,ABAR,intra
B,B49,LOW,0,9,9,ABAR,intra
B,B50,MED,0,9,9,ABAR,intra
B,B51,HIGH,0,9,9,ABAR,intra
B,B52,LOW,0,12,12,ABAR,intra
B,B53,MED,0,12,12,ABAR,intra
B,B54,HIGH,0,12,12,ABAR,intra
B,B55,LOW,3,3,6,ABAR,inter
B,B56,MED,3,3,6,ABAR,inter
B,B57,HIGH,3,3,6,ABAR,inter
B,B58,LOW,3,6,9,ABAR,inter
B,B59,MED,3,6,9,ABAR,inter
B,B60,HIGH,3,6,9,ABAR,inter
B,B61,LOW,3,9,12,ABAR,inter
B,B62,MED,3,9,12,ABAR,inter
B,B63,HIGH,3,9,12,ABAR,inter
B,B64,LOW,6,3,9,ABAR,inter
B,B65,MED,6,3,9,ABAR,inter
B,B66,HIGH,6,3,9,ABAR,inter
B,B67,LOW,6,6,12,ABAR,inter
B,B68,MED,6,6,12,ABAR,inter
B,B69,HIGH,6,6,12,ABAR,inter
B,B70,LOW,9,3,12,ABAR,inter
B,B71,MED,9,3,12,ABAR,inter
B,B72,HIGH,9,3,12,ABAR,inter
B,B73,LOW,0,3,3,ECUR,intra
B,B74,MED,0,3,3,ECUR,intra
B,B75,HIGH,0,3,3,ECUR,intra
B,B76,LOW,0,6,6,ECUR,intra
B,B77,MED,0,6,6,ECUR,intra
B,B78,HIGH,0,6,6,ECUR,intra
B,B79,LOW,0,9,9,ECUR,intra
B,B80,MED,0,9,9,ECUR,intra
B,B81,HIGH,0,9,9,ECUR,intra
B,B82,LOW,0,12,12,ECUR,intra
B,B83,MED,0,12,12,ECUR,intra
B,B84,HIGH,0,12,12,ECUR,intra
B,B85,LOW,3,3,6,ECUR,inter
B,B86,MED,3,3,6,ECUR,inter
B,B87,HIGH,3,3,6,ECUR,inter
B,B88,LOW,3,6,9,ECUR,inter
B,B89,MED,3,6,9,ECUR,inter
B,B90,HIGH,3,6,9,ECUR,inter
B,B91,LOW,3,9,12,ECUR,inter
B,B92,MED,3,9,12,ECUR,inter
B,B93,HIGH,3,9,12,ECUR,inter
B,B94,LOW,6,3,9,ECUR,inter
B,B95,MED,6,3,9,ECUR,inter
B,B96,HIGH,6,3,9,ECUR,inter
B,B97,LOW,6,6,12,ECUR,inter
B,B98,MED,6,6,12,ECUR,inter
B,B99,HIGH,6,6,12,ECUR,inter
B,B100,LOW,9,3,12,ECUR,inter
B,B101,MED,9,3,12,ECUR,inter
B,B102,HIGH,9,3,12,ECUR,inter
C,C1,LOW,3,0,3,,intra
C,C2,MED,3,0,3,,intra
C,C3,HIGH,3,0,3,,intra
C,C4,LOW,6,0,6,,intra
C,C5,MED,6,0,6,,intra
C,C6,HIGH,6,0,6,,intra
C,C7,LOW,9,0,9,,intra
C,C8,MED,9,0,9,,intra
