seedling_id,species_code,block,pot,position,sample_id,planting_notes,date_planted,date_sampled,age_days,native,exotic,biomass_weight_g,seed_weight_g,husk_number,seed_number,total_area,total_leaf_weight_g,total_SLA,fertility,exotic_species_code,total_density
396,ABAR,A,A49,9,A49-9,NA,25/09/2016,16/12/2016,82,0,1,0.1248,0.0109,6,3,NA,NA,NA,LOW,ABAR,9
397,ABAR,A,A50,1,A50-1,NA,25/09/2016,16/12/2016,82,0,1,0.2165,0.0264,14,7,NA,NA,NA,MED,ABAR,9
398,ABAR,A,A50,2,A50-2,NA,25/09/2016,16/12/2016,82,0,1,0.1872,0.063,8,7,NA,NA,NA,MED,ABAR,9
399,ABAR,A,A50,3,A50-3,NA,25/09/2016,16/12/2016,82,0,1,0.1636,0.0206,6,2,NA,NA,NA,MED,ABAR,9
400,ABAR,A,A50,4,A50-4,NA,25/09/2016,16/12/2016,82,0,1,0.2112,0.0421,8,7,NA,NA,NA,MED,ABAR,9
401,ABAR,A,A50,5,A50-5,NA,25/09/2016,16/12/2016,82,0,1,0.1288,0.0095,6,2,NA,NA,NA,MED,ABAR,9
402,ABAR,A,A50,6,A50-6,NA,25/09/2016,16/12/2016,82,0,1,0.2688,0.0361,12,6,NA,NA,NA,MED,ABAR,9
403,ABAR,A,A50,7,A50-7,NA,25/09/2016,16/12/2016,82,0,1,0.1864,0.0719,8,6,NA,NA,NA,MED,ABAR,9
404,ABAR,A,A50,8,A50-8,NA,25/09/2016,16/12/2016,82,0,1,0.1944,0.0639,8,6,NA,NA,NA,MED,ABAR,9
405,ABAR,A,A50,9,A50-9,NA,25/09/2016,16/12/2016,82,0,1,0.1854,0.0076,8,1,NA,NA,NA,MED,ABAR,9
406,ABAR,A,A51,1,A51-1,NA,25/09/2016,16/12/2016,82,0,1,0.2255,NA,12,NA,NA,NA,NA,HIGH,ABAR,9
407,ABAR,A,A51,2,A51-2,NA,25/09/2016,16/12/2016,82,0,1,0.2056,0.0063,8,1,NA,NA,NA,HIGH,ABAR,9
408,ABAR,A,A51,3,A51-3,NA,25/09/2016,16/12/2016,82,0,1,0.4742,0.0325,22,8,NA,NA,NA,HIGH,ABAR,9
409,ABAR,A,A51,4,A51-4,NA,25/09/2016,16/12/2016,82,0,1,0.4655,0.025,22,8,NA,NA,NA,HIGH,ABAR,9
410,ABAR,A,A51,5,A51-5,NA,25/09/2016,16/12/2016,82,0,1,0.2804,0.0173,14,5,NA,NA,NA,HIGH,ABAR,9
411,ABAR,A,A51,6,A51-6,NA,25/09/2016,16/12/2016,82,0,1,0.2294,0.0202,10,1,NA,NA,NA,HIGH,ABAR,9
412,ABAR,A,A51,7,A51-7,NA,25/09/2016,16/12/2016,82,0,1,0.2065,0.019,8,1,NA,NA,NA,HIGH,ABAR,9
413,ABAR,A,A51,8,A51-8,NA,25/09/2016,16/12/2016,82,0,1,0.2668,0.0196,12,1,NA,NA,NA,HIGH,ABAR,9
414,ABAR,A,A51,9,A51-9,NA,25/09/2016,16/12/2016,82,0,1,0.3235,0.0616,18,8,NA,NA,NA,HIGH,ABAR,9
415,ABAR,A,A52,1,A52-1,NA,25/09/2016,16/12/2016,82,0,1,0.0616,0.0109,2,2,NA,NA,NA,LOW,ABAR,11
417,ABAR,A,A52,3,A52-3,NA,25/09/2016,16/12/2016,82,0,1,0.309,0.007,2,1,NA,NA,NA,LOW,ABAR,11
418,ABAR,A,A52,4,A52-4,NA,25/09/2016,16/12/2016,82,0,1,0.0487,NA,2,NA,NA,NA,NA,LOW,ABAR,11
419,ABAR,A,A52,5,A52-5,NA,25/09/2016,16/12/2016,82,0,1,0.0278,0.0128,2,1,NA,NA,NA,LOW,ABAR,11
420,ABAR,A,A52,6,A52-6,NA,25/09/2016,16/12/2016,82,0,1,0.0696,0.0058,4,1,NA,NA,NA,LOW,ABAR,11
421,ABAR,A,A52,7,A52-7,NA,25/09/2016,16/12/2016,82,0,1,0.0822,0.0065,4,1,NA,NA,NA,LOW,ABAR,11
422,ABAR,A,A52,8,A52-8,NA,25/09/2016,16/12/2016,82,0,1,0.0516,NA,2,NA,NA,NA,NA,LOW,ABAR,11
423,ABAR,A,A52,9,A52-9,NA,25/09/2016,16/12/2016,82,0,1,0.1037,0.0179,4,3,NA,NA,NA,LOW,ABAR,11
424,ABAR,A,A52,10,A52-10,NA,25/09/2016,16/12/2016,82,0,1,0.0778,0.0066,4,1,NA,NA,NA,LOW,ABAR,11
425,ABAR,A,A52,11,A52-11,NA,25/09/2016,16/12/2016,82,0,1,0.0813,0.0248,4,3,2.469,0.0053,465.84905660377353,LOW,ABAR,11
426,ABAR,A,A52,12,A52-12,NA,25/09/2016,16/12/2016,82,0,1,0.0767,0.0058,4,1,NA,NA,NA,LOW,ABAR,11
427,ABAR,A,A53,1,A53-1,NA,25/09/2016,15/12/2016,81,0,1,0.1195,NA,6,NA,NA,NA,NA,MED,ABAR,12
428,ABAR,A,A53,2,A53-2,NA,25/09/2016,15/12/2016,81,0,1,0.1055,NA,6,NA,NA,NA,NA,MED,ABAR,12
429,ABAR,A,A53,3,A53-3,NA,25/09/2016,15/12/2016,81,0,1,0.1486,0.0082,6,1,NA,NA,NA,MED,ABAR,12
430,ABAR,A,A53,4,A53-4,NA,25/09/2016,15/12/2016,81,0,1,0.0876,NA,6,NA,NA,NA,NA,MED,ABAR,12
431,ABAR,A,A53,5,A53-5,NA,25/09/2016,15/12/2016,81,0,1,0.1631,NA,8,NA,NA,NA,NA,MED,ABAR,12
432,ABAR,A,A53,6,A53-6,NA,25/09/2016,15/12/2016,81,0,1,0.1447,NA,6,NA,NA,NA,NA,MED,ABAR,12
433,ABAR,A,A53,7,A53-7,NA,25/09/2016,15/12/2016,81,0,1,0.0731,0.0074,4,1,NA,NA,NA,MED,ABAR,12
434,ABAR,A,A53,8,A53-8,NA,25/09/2016,15/12/2016,81,0,1,0.1419,0.0034,NA,1,NA,NA,NA,MED,ABAR,12
435,ABAR,A,A53,9,A53-9,NA,25/09/2016,15/12/2016,81,0,1,0.1111,NA,6,NA,NA,NA,NA,MED,ABAR,12
436,ABAR,A,A53,10,A53-10,NA,25/09/2016,15/12/2016,81,0,1,0.1385,0.048,8,2,NA,NA,NA,MED,ABAR,12
437,ABAR,A,A53,11,A53-11,NA,25/09/2016,15/12/2016,81,0,1,0.1745,0.0149,12,3,1.674,0.0036,465,MED,ABAR,12
438,ABAR,A,A53,12,A53-12,NA,25/09/2016,15/12/2016,81,0,1,0.1199,NA,6,NA,NA,NA,NA,MED,ABAR,12
439,ABAR,A,A54,1,A54-1,NA,25/09/2016,15/12/2016,81,0,1,0.1502,NA,6,NA,NA,NA,NA,HIGH,ABAR,12
440,ABAR,A,A54,2,A54-2,NA,25/09/2016,15/12/2016,81,0,1,0.3812,0.0209,12,4,NA,NA,NA,HIGH,ABAR,12
441,ABAR,A,A54,3,A54-3,NA,25/09/2016,15/12/2016,81,0,1,0.1174,NA,6,NA,NA,NA,NA,HIGH,ABAR,12
442,ABAR,A,A54,4,A54-4,NA,25/09/2016,15/12/2016,81,0,1,0.1835,0.0205,16,6,NA,NA,NA,HIGH,ABAR,12
443,ABAR,A,A54,5,A54-5,NA,25/09/2016,15/12/2016,81,0,1,0.1667,NA,8,NA,NA,NA,NA,HIGH,ABAR,12
444,ABAR,A,A54,6,A54-6,NA,25/09/2016,15/12/2016,81,0,1,0.2326,NA,8,NA,NA,NA,NA,HIGH,ABAR,12
445,ABAR,A,A54,7,A54-7,NA,25/09/2016,15/12/2016,81,0,1,0.3172,NA,14,NA,NA,NA,NA,HIGH,ABAR,12
446,ABAR,A,A54,8,A54-8,NA,25/09/2016,15/12/2016,81,0,1,0.1684,NA,4,NA,NA,NA,NA,HIGH,ABAR,12
447,ABAR,A,A54,9,A54-9,NA,25/09/2016,15/12/2016,81,0,1,0.2335,0.0423,10,4,7.763,0.0194,400.1546391752577,HIGH,ABAR,12
448,ABAR,A,A54,10,A54-10,NA,25/09/2016,15/12/2016,81,0,1,0.3924,0.0356,24,11,NA,NA,NA,HIGH,ABAR,12
449,ABAR,A,A54,11,A54-11,NA,25/09/2016,15/12/2016,81,0,1,0.262,NA,8,NA,NA,NA,NA,HIGH,ABAR,12
450,ABAR,A,A54,12,A54-12,NA,25/09/2016,15/12/2016,81,0,1,0.3128,NA,9,NA,NA,NA,NA,HIGH,ABAR,12
452,ABAR,A,A55,2,A55-2,NA,25/09/2016,16/12/2016,82,0,1,0.091,0.0049,6,1,1.788,0.0036,496.6666666666667,LOW,ABAR,5
453,ABAR,A,A55,3,A55-3,NA,25/09/2016,16/12/2016,82,0,1,0.1734,NA,10,NA,NA,NA,NA,LOW,ABAR,5
