seedling_id,sample_id,seed_weight_g,seed_notes,husk_number,seed_number
280,A36-1,0.2484,NA,NA,NA
283,A36-4,0.3793,NA,NA,NA
287,A36-8,0.4701,NA,NA,NA
290,A37-2,0.0445,NA,NA,NA
292,A37-4,0.0356,NA,NA,NA
294,A37-6,0.0515,NA,NA,NA
296,A37-8,0.0286,NA,NA,NA
297,A37-9,0.0663,NA,NA,NA
299,A37-11,0.0526,NA,NA,NA
303,A38-3,0.1201,NA,NA,NA
306,A38-6,0.0947,NA,NA,NA
307,A38-7,0.1327,NA,NA,NA
308,A38-8,0.1123,NA,NA,NA
310,A38-10,0.1225,NA,NA,NA
311,A38-11,0.1185,NA,NA,NA
312,A38-12,0.0444,NA,NA,NA
313,A39-1,0.1715,NA,NA,NA
314,A39-2,0.264,NA,NA,NA
317,A39-5,0.2375,NA,NA,NA
321,A39-9,0.2759,NA,NA,NA
322,A39-10,0.284,NA,NA,NA
323,A39-11,0.3619,NA,NA,NA
331,A40-7,0.0544,NA,NA,NA
332,A40-8,0.0656,NA,NA,NA
334,A40-10,0.0135,NA,NA,NA
335,A40-11,0.0628,NA,NA,NA
336,A40-12,0.0098,NA,NA,NA
338,A41-2,0.1582,NA,NA,NA
340,A41-4,0.1226,NA,NA,NA
347,A41-11,0.2077,NA,NA,NA
349,A42-1,0.0586,NA,NA,NA
350,A42-2,0.2869,NA,NA,NA
352,A42-4,0.2107,NA,NA,NA
361,A43-1,0.0188,NA,2,2
362,A43-2,0.0083,NA,14,4
363,A43-3,0.0083,NA,8,2
364,A44-1,0.0592,NA,32,13
365,A44-2,0.076,NA,24,11
366,A44-3,0.0322,NA,18,3
367,A45-1,0.1689,NA,16,16
368,A45-2,0.0094,NA,30,4
369,A45-3,0.062,NA,58,14
370,A46-1,0.007,NA,4,1
371,A46-2,0.009,NA,6,2
372,A46-3,NA,NA,2,NA
373,A46-4,NA,NA,4,NA
374,A46-5,0.013,NA,4,2
375,A46-6,0.0211,NA,6,4
376,A47-1,0.0167,NA,12,3
377,A47-2,0.0165,NA,12,1
378,A47-3,0.1489,NA,16,14
379,A47-4,0.1137,NA,10,10
380,A47-5,0.0997,NA,10,10
381,A47-6,0.0177,NA,16,3
382,A48-1,0.0175,NA,18,3
383,A48-2,0.0168,NA,14,3
384,A48-3,0.0198,NA,28,1
385,A48-4,0.0884,NA,20,12
386,A48-5,0.0355,NA,24,3
387,A48-6,NA,NA,16,NA
388,A49-1,0.0094,NA,NA,2
389,A49-2,NA,NA,4,NA
390,A49-3,NA,NA,2,NA
391,A49-4,0.0141,NA,4,1
392,A49-5,0.0118,NA,4,2
393,A49-6,0.0028,NA,4,2
394,A49-7,0.0106,NA,4,2
395,A49-8,NA,NA,2,NA
396,A49-9,0.0109,NA,6,3
397,A50-1,0.0264,NA,14,7
398,A50-2,0.063,NA,8,7
399,A50-3,0.0206,NA,6,2
400,A50-4,0.0421,NA,8,7
401,A50-5,0.0095,NA,6,2
402,A50-6,0.0361,NA,12,6
403,A50-7,0.0719,NA,8,6
404,A50-8,0.0639,NA,8,6
405,A50-9,0.0076,NA,8,1
406,A51-1,NA,NA,12,NA
407,A51-2,0.0063,NA,8,1
408,A51-3,0.0325,NA,22,8
409,A51-4,0.025,NA,22,8
410,A51-5,0.0173,NA,14,5
411,A51-6,0.0202,NA,10,1
412,A51-7,0.019,NA,8,1
