block,pot,position,sample_id,species,seedling_id,seed_weight_g,seed_number,seed_notes
A,21,5,A21-5,BDIA,140,0.1575,,
A,21,6,A21-6,BDIA,141,0.2614,,
A,21,7,A21-7,BDIA,142,0.186,,
A,21,8,A21-8,BDIA,143,0.1963,,
A,21,9,A21-9,BDIA,144,0.323,,
A,22,1,A22-1,BDIA,145,0.0396,,
A,22,2,A22-2,BDIA,146,0.044,,
A,22,3,A22-3,BDIA,147,0.0192,,
A,22,4,A22-4,BDIA,148,0.0217,,
A,22,5,A22-5,BDIA,149,0.0421,,
A,22,6,A22-6,BDIA,150,0.0529,,
A,22,7,A22-7,BDIA,151,0.0101,,
A,22,8,A22-8,BDIA,152,0.032,,
A,22,9,A22-9,BDIA,153,0.0411,,
A,22,10,A22-10,BDIA,154,0.0531,,
A,22,11,A22-11,BDIA,155,0.019,,
A,22,12,A22-12,BDIA,156,0.0396,,
A,23,1,A23-1,BDIA,157,0.098,,
A,23,2,A23-2,BDIA,158,0.1067,,
A,23,3,A23-3,BDIA,159,0.0979,,
A,23,4,A23-4,BDIA,160,0.1102,,
A,23,5,A23-5,BDIA,161,0.092,,
A,23,6,A23-6,BDIA,162,0.097,,
A,23,7,A23-7,BDIA,163,0.0858,,
A,23,8,A23-8,BDIA,164,0.0456,,
A,23,9,A23-9,BDIA,165,0.0598,,
A,23,10,A23-10,BDIA,166,0.1446,,
A,23,11,A23-11,BDIA,167,0.0909,,
A,23,12,A23-12,BDIA,168,0.145,,
A,24,1,A24-1,BDIA,169,0.1853,,
A,24,2,A24-2,BDIA,170,0.1337,,
A,24,3,A24-3,BDIA,171,0.1147,,
A,24,4,A24-4,BDIA,172,0.1699,,
A,24,5,A24-5,BDIA,173,0.1152,,
A,24,6,A24-6,BDIA,174,0.159,,
A,24,7,A24-7,BDIA,175,0.1284,,
A,24,8,A24-8,BDIA,176,0.148,,
A,24,9,A24-9,BDIA,177,0.2039,,
A,24,10,A24-10,BDIA,178,0.2187,,
A,24,11,A24-11,BDIA,179,0.142,,
A,24,12,A24-12,BDIA,180,,,
A,25,1,A25-1,BDIA,181,0.0485,,
A,25,2,A25-2,BDIA,182,0.0939,,
A,25,3,A25-3,PLAB,183,,,
A,25,4,A25-4,ABIG,184,,,
A,25,5,A25-5,RCAES,185,,,
A,25,6,A25-6,BDIA,186,0.0866,,
A,26,1,A26-1,PLAB,187,,,
A,26,2,A26-2,BDIA,188,0.2326,,
A,26,3,A26-3,BDIA,189,0.235,,
A,26,4,A26-4,RCAES,190,,,
A,26,5,A26-5,BDIA,191,0.2291,,
A,26,6,A26-6,ABIG,192,,,
A,27,1,A27-1,ABIG,193,,,
A,27,2,A27-2,BDIA,194,0.2741,,
A,27,3,A27-3,BDIA,195,0.3496,,
A,27,4,A27-7,BDIA,3603,0.2481,,
A,27,5,A27-4,PLAB,196,,,
A,27,6,A27-5,BDIA,197,0.2857,,
A,27,7,A27-6,RCAES,198,,,
