seedling_id,sample_id,seed_weight2,seed_number2,husk_number2
447,A54-9,,,10
448,A54-10,,,24
452,A55-2,,,6
458,A56-2,,,16
461,A56-5,,,12
463,A57-1,,,22
464,A57-2,,,34
468,A57-6,,,34
469,A58-1,,,4
472,A58-4,,,8
474,A58-6,,,4
475,A58-7,,,4
476,A58-8,,,8
477,A58-9,,,6
478,A59-1,,,9
479,A59-2,,,10
480,A59-3,,,8
481,A59-4,,,18
482,A59-5,,,8
484,A59-7,,,10
487,A60-1,,,20
488,A60-2,,,28
492,A60-6,,,14
493,A60-7,,,14
509,A62-2,,,6
510,A62-3,,,6
512,A62-5,,,8
514,A62-7,,,6
515,A62-8,,,6
517,A62-10,,,10
519,A62-12,,,8
520,A63-1,,,16
521,A63-2,,,12
522,A63-3,,,16
523,A63-4,,,12
526,A63-7,,,12
528,A63-9,,0,8
529,A63-10,,,14
531,A63-12,,,14
540,A64-9,,,6
546,A65-6,,,16
548,A65-8,,,16
549,A65-9,,,23
556,A66-7,,,18
558,A66-9,,,32
561,A67-3,,,6
562,A67-4,,,2
564,A67-6,,,6
566,A67-8,,,4
578,A68-8,,,10
582,A68-12,,,12
583,A69-1,,,20
584,A69-2,,,18
587,A69-5,,,14
593,A69-11,,,16
598,A70-4,,,4
609,A71-3,,,12
613,A71-7,,,6
614,A71-8,,,12
619,A72-1,,,18
628,A72-10,,,18
630,A72-12,,,18
991,B13-1,0.1,,
992,B13-2,0.1204,,
993,B13-3,0.0809,,
1012,B18-1,0.2783,,
1013,B18-2,0.3794,,
1014,B18-3,0.2438,,
1015,B18-4,0.2196,,
1016,B18-5,0.2749,,
1017,B18-6,0.2925,,
1018,B19-1,0.0165,,
1019,B19-2,0.0551,,
1020,B19-3,0.0144,,
1021,B19-4,0.0301,,
1022,B19-5,0.0496,,
1024,B19-7,0.0491,,
1025,B19-8,0.0162,,
1026,B19-9,0.063,,
1027,B20-1,0.1023,,
1029,B20-3,0.1359,,
1030,B20-4,0.0877,,
1031,B20-5,0.0795,,
1032,B20-6,0.1203,,
1033,B20-7,0.0964,,
1034,B20-8,0.1072,,
1035,B20-9,0.1307,,
1045,B22-1,0.0261,,
1046,B22-2,0.0438,,
1047,B22-3,0.0355,,
1048,B22-4,0.0336,,
1049,B22-5,0.0382,,
1050,B22-6,0.0233,,
1051,B22-7,0.0494,,
1052,B22-8,0.043,,
1053,B22-9,0.0234,,
1054,B22-10,0.0378,,
1055,B22-11,0.0511,,
1056,B22-12,0.0046,,
1057,B23-1,0.1015,,
1058,B23-2,0.0657,,
1059,B23-3,0.0887,,
1060,B23-4,0.0914,,
1061,B23-5,0.0916,,
1062,B23-6,0.0192,,
1063,B23-7,0.0933,,
1064,B23-8,0.0636,,
1065,B23-9,0.0674,,
1066,B23-10,0.0958,,
1067,B23-11,0.0833,,
1068,B23-12,0.1358,,
1069,B24-1,0.1484,,
1070,B24-2,0.1365,,
1071,B24-3,0.1924,,
1072,B24-4,0.1216,,
1073,B24-5,0.1226,,
1074,B24-6,0.1282,,
1075,B24-7,0.1545,,
1076,B24-8,0.1173,,
1077,B24-9,0.1327,,
1078,B24-10,0.1391,,
1079,B24-11,0.094,,
1080,B24-12,0.0748,,
1081,B25-1,0.0384,,
1082,B25-2,0.036,,
1085,B25-5,0.0712,,
1087,B26-1,0.2196,,
1088,B26-2,0.182,,
1092,B26-6,0.2719,,
1094,B27-2,0.4315,,
1095,B27-3,0.3206,,
1097,B27-5,0.3656,,
1099,B28-1,0.0536,,
1100,B28-2,0.0468,,
1101,B28-3,0.0763,,
1104,B28-6,0.0513,,
1105,B28-7,0.0474,,
1106,B28-8,0.07,,
1108,B29-1,0.0995,,
1109,B29-2,0.1153,,
1111,B29-4,0.0994,,
1114,B29-7,0.134,,
1115,B29-8,0.1363,,
1116,B29-9,0.1584,,
1119,B30-3,0.15,,
1120,B30-4,0.1544,,
1123,B30-7,0.2023,,
1124,B30-8,0.1872,,
1125,B30-9,0.2582,,
1139,B32-2,0.0824,,
1140,B32-3,0.0575,,
1141,B32-4,0.0702,,
1142,B32-5,0.0598,,
1143,B32-6,0.09,,
1146,B32-9,0.0728,,
1147,B32-10,0.0991,,
1148,B32-11,0.1345,,
1149,B32-12,0.0463,,
1152,B33-3,0.1885,,
1153,B33-4,0.195,,
1155,B33-6,0.0869,,
1156,B33-7,0.1526,,
1157,B33-8,0.1708,,
1159,B33-10,0.2839,,
1160,B33-11,0.1104,,
1161,B33-12,0.2972,,
1162,B34-1,0.0549,,
1164,B34-3,0.0592,,
1169,B34-8,0.038,,
1174,B35-4,0.0937,,
1176,B35-6,0.0653,,
1179,B35-9,0.1842,,
1185,B36-6,0.228,,
1188,B36-9,0.4595,,
1192,B37-4,0.0255,,
