rna_sample_id,pot,seedling_id,sample_id,species_code,rna_notes
215,D68,3274,D68-4,ABAR,NA
209,D68,3275,D68-5,ABIG,NA
216,D69,3284,D69-2,ABAR,NA
210,D69,3291,D69-9,ABIG,NA
199,D76,3343,D76-4,ECUR,NA
200,D77,3350,D77-5,ECUR,NA
201,D78,3354,D78-3,ECUR,NA
202,D82,3391,D82-7,ECUR,NA
203,D83,3400,D83-4,ECUR,NA
204,D84,3410,D84-2,ECUR,NA
229,D85,3422,D85-2,ABIG,NA
235,D85,3425,D85-5,ECUR,NA
236,D86,3427,D86-1,ECUR,NA
230,D86,3429,D86-3,ABIG,NA
237,D87,3434,D87-2,ECUR,NA
231,D87,3438,D87-6,ABIG,NA
232,D97,3537,D97-9,ABIG,NA
239,D98,3543,D98-3,ECUR,NA
233,D98,3548,D98-8,ABIG,NA
238,D98,3552,D98-12,RCAES,NA
234,D99,3555,D99-3,RCAES,NA
240,D99,3559,D99-7,ABIG,NA
33,A57,NA,NA,NA,no live leaves
67,B46,NA,NA,NA,"not sampled, missed by mistake"
86,B56,NA,NA,NA,no live leaves
107,B38,NA,NA,NA,no live leaves
136,C22,NA,NA,NA,no live leaves
147,C57,NA,NA,NA,no live leaves
153,C57,NA,NA,NA,no live leaves
156,C69,NA,NA,NA,no live leaves
168,C39,NA,NA,NA,no live leaves
192,D54,NA,NA,NA,no live leaves
