seedling_id,sample_id,biomass_weight_g,weight_notes
939,B8-3,0.1792,NA
940,B8-4,0.0486,NA
941,B8-5,0.0579,NA
942,B8-6,0.0866,NA
943,B8-7,0.0432,NA
944,B8-8,0.1546,NA
945,B8-9,0.1038,NA
947,B9-2,0.143,NA
948,B9-3,0.2962,NA
949,B9-4,0.1947,NA
950,B9-5,0.1329,NA
951,B9-6,0.096,NA
952,B9-7,0.3644,NA
953,B9-8,0.2743,NA
954,B9-9,0.2054,NA
955,B10-1,0.0277,NA
956,B10-2,0.0558,NA
957,B10-3,0.0173,NA
958,B10-4,0.0148,NA
959,B10-5,0.0138,NA
960,B10-6,0.0152,NA
961,B10-7,0.0255,NA
962,B10-8,0.0198,NA
963,B10-9,0.0405,NA
964,B10-10,0.0208,NA
965,B10-11,0.0397,NA
966,B10-12,0.049,NA
967,B11-1,0.2091,NA
968,B11-2,0.1261,NA
969,B11-3,0.0841,NA
970,B11-4,0.0503,NA
971,B11-5,0.0863,NA
972,B11-6,0.0518,NA
973,B11-7,0.0408,NA
974,B11-8,0.0902,NA
975,B11-9,0.0826,NA
976,B11-10,0.0392,NA
977,B11-11,0.0403,NA
978,B11-12,0.0695,NA
979,B12-1,0.074,NA
980,B12-2,0.0378,NA
981,B12-3,0.051,NA
982,B12-4,0.0688,NA
983,B12-5,0.0449,NA
984,B12-6,0.0657,NA
985,B12-7,0.1043,NA
986,B12-8,0.1028,NA
987,B12-9,0.1208,NA
988,B12-10,0.1186,NA
989,B12-11,0.1495,NA
990,B12-12,0.7848,? V large.
991,B13-1,0.1346,NA
992,B13-2,0.1308,NA
993,B13-3,0.095,NA
994,B14-1,0.3809,NA
995,B14-2,0.3234,NA
996,B14-3,0.2098,NA
997,B15-1,0.5743,NA
998,B15-2,0.8292,NA
999,B15-3,0.5877,NA
1000,B16-1,0.0682,NA
1001,B16-2,0.0631,NA
1002,B16-3,0.0474,NA
1003,B16-4,0.0393,NA
1004,B16-5,0.0832,NA
1005,B16-6,0.0687,NA
1006,B17-1,0.1294,NA
1007,B17-2,0.1755,NA
1008,B17-3,0.2169,NA
1009,B17-4,0.1145,NA
1010,B17-5,0.1253,NA
1011,B17-6,0.2128,NA
1012,B18-1,0.209,NA
1013,B18-2,0.4491,NA
1014,B18-3,0.1892,NA
1015,B18-4,0.1607,NA
1016,B18-5,0.3073,NA
1017,B18-6,0.3657,NA
1018,B19-1,0.0936,NA
1019,B19-2,0.0854,NA
1020,B19-3,0.032,NA
1021,B19-4,0.0719,NA
1022,B19-5,0.0526,NA
1023,B19-6,0.0742,NA
1024,B19-7,0.045,NA
1025,B19-8,0.0466,NA
1026,B19-9,0.0753,NA
1027,B20-1,0.1312,NA
1029,B20-3,0.1217,NA
1030,B20-4,0.0914,NA
1031,B20-5,0.1002,NA
1032,B20-6,0.1195,NA
1033,B20-7,0.124,NA
1034,B20-8,0.1644,NA
1035,B20-9,0.2165,NA
1036,B21-1,0.3346,NA
1037,B21-2,0.3755,NA
1038,B21-3,0.303,NA
1039,B21-4,0.2492,NA
1040,B21-5,0.1906,NA
1041,B21-6,0.09,NA
1042,B21-7,0.2687,NA
1043,B21-8,0.1315,NA
1044,B21-9,0.2414,NA
1045,B22-1,0.0355,NA
1046,B22-2,0.0573,NA
1047,B22-3,0.0312,NA
1048,B22-4,0.0591,NA
1049,B22-5,0.0607,NA
1050,B22-6,0.0379,NA
1051,B22-7,0.0442,NA
1052,B22-8,0.051,NA
1053,B22-9,0.026,NA
1054,B22-10,0.0557,NA
1055,B22-11,0.0444,NA
1056,B22-12,0.0378,NA
1057,B23-1,0.1331,NA
1058,B23-2,0.1136,NA
1059,B23-3,0.0837,NA
1060,B23-4,0.1528,NA
1061,B23-5,0.0728,NA
1062,B23-6,0.0338,NA
1063,B23-7,0.1291,NA
1064,B23-8,0.0841,NA
1065,B23-9,0.0918,NA
1066,B23-10,0.148,NA
1067,B23-11,0.1013,NA
1068,B23-12,0.1545,NA
1069,B24-1,0.197,NA
1070,B24-2,0.2245,NA
1071,B24-3,0.22,NA
1072,B24-4,0.0946,NA
1073,B24-5,0.1213,NA
1074,B24-6,0.1131,NA
1075,B24-7,0.1516,NA
1076,B24-8,0.1377,NA
1077,B24-9,0.1116,NA
1078,B24-10,0.2834,NA
1079,B24-11,0.0584,NA
1080,B24-12,0.1271,NA
1081,B25-1,0.1051,NA
1082,B25-2,0.0182,NA
1083,B25-3,0.0236,NA
1084,B25-4,0.094,NA
1085,B25-5,0.0171,NA
1086,B25-6,0.0716,NA
1087,B26-1,0.2046,NA
1088,B26-2,0.2642,NA
1089,B26-3,0.1073,NA
1090,B26-4,0.0346,NA
1091,B26-5,0.1053,NA
1092,B26-6,0.2897,NA
1093,B27-1,0.1283,NA
1094,B27-2,0.5502,NA
1095,B27-3,0.2443,NA
1096,B27-4,0.1492,NA
1097,B27-5,0.3697,NA
1098,B27-6,0.1048,NA
1099,B28-1,0.0546,NA
1100,B28-2,0.0432,NA
1101,B28-3,0.0801,NA
1103,B28-5,0.0281,NA
1104,B28-6,0.0596,NA
1105,B28-7,0.0752,NA
1106,B28-8,0.0817,NA
1107,B28-9,0.0358,NA
1108,B29-1,0.2114,NA
1109,B29-2,0.1579,NA
1110,B29-3,0.0401,NA
1111,B29-4,0.1201,NA
1112,B29-5,0.0412,NA
1113,B29-6,0.0354,NA
1114,B29-7,0.1892,NA
1115,B29-8,0.1042,NA
1116,B29-9,0.3154,NA
1117,B30-1,0.0818,NA
1118,B30-2,0.2716,NA
1119,B30-3,0.2461,NA
1120,B30-4,0.1684,NA
1121,B30-5,0.0467,NA
1122,B30-6,0.064,NA
1123,B30-7,0.1894,NA
1124,B30-8,0.2593,NA
1125,B30-9,0.3704,NA
1126,B31-1,0.0555,NA
1127,B31-2,0.045,NA
1128,B31-3,0.0147,NA
1129,B31-4,0.0405,NA
1130,B31-5,0.0669,NA
1131,B31-6,0.0329,NA
1132,B31-7,0.0151,NA
1133,B31-8,0.0465,NA
1134,B31-9,0.0333,NA
1135,B31-10,0.0695,NA
1136,B31-11,0.0744,NA
1137,B31-12,0.0125,NA
1138,B32-1,0.0539,NA
1139,B32-2,0.0811,NA
1140,B32-3,0.0495,NA
1141,B32-4,0.1054,NA
1142,B32-5,0.153,NA
1143,B32-6,0.1089,NA
1144,B32-7,0.0643,NA
1145,B32-8,0.0304,NA
1146,B32-9,0.0794,NA
1147,B32-10,0.1064,NA
1148,B32-11,0.0467,NA
1149,B32-12,0.117,NA
1150,B33-1,0.0385,NA
1151,B33-2,0.0705,NA
1152,B33-3,0.2723,NA
1153,B33-4,0.3796,NA
1154,B33-5,0.0736,NA
1155,B33-6,0.122,NA
1156,B33-7,0.1654,NA
1157,B33-8,0.042,NA
1159,B33-10,0.2215,NA
1160,B33-11,0.1697,NA
1161,B33-12,0.2339,NA
1162,B34-1,0.0745,NA
1163,B34-2,0.0338,NA
1164,B34-3,0.0533,NA
1165,B34-4,0.0321,NA
1166,B34-5,0.0234,NA
1167,B34-6,0.0152,NA
1168,B34-7,0.0208,NA
1169,B34-8,0.0415,NA
1170,B34-9,0.0516,NA
1171,B35-1,0.331,NA
1172,B35-2,0.1177,NA
1173,B35-3,0.049,NA
1174,B35-4,0.16,NA
1175,B35-5,0.0693,NA
1176,B35-6,0.2484,NA
1177,B35-7,0.0779,NA
1178,B35-8,0.0865,NA
1179,B35-9,0.3192,NA
1180,B36-1,0.0814,NA
1181,B36-2,0.0572,NA
1182,B36-3,0.041,NA
1184,B36-5,0.2034,NA
1185,B36-6,0.2805,NA
1186,B36-7,0.1109,NA
1187,B36-8,0.2258,NA
1188,B36-9,0.5615,NA
1189,B37-1,0.0296,NA
1190,B37-2,0.0323,NA
1192,B37-4,0.0456,NA
1193,B37-5,0.0501,NA
1194,B37-6,0.0071,NA
1195,B37-7,0.0511,NA
1196,B37-8,0.0115,NA
1197,B37-9,0.0743,NA
1198,B37-10,0.0505,NA
1199,B37-11,0.0466,NA
1200,B37-12,0.0196,NA
1201,B38-1,0.1288,NA
1202,B38-2,0.072,NA
1203,B38-3,0.0697,NA
1204,B38-4,0.0263,NA
1205,B38-5,0.1133,NA
1206,B38-6,0.0412,NA
1207,B38-7,0.0798,NA
1208,B38-8,0.0745,NA
1210,B38-10,0.048,NA
1211,B38-11,0.1558,NA
1212,B38-12,0.1425,NA
1213,B39-1,0.0987,NA
1214,B39-2,0.1964,NA
1215,B39-3,0.1635,NA
1216,B39-4,0.0717,NA
1217,B39-5,0.1381,NA
1218,B39-6,0.0561,NA
1219,B39-7,0.0356,NA
1220,B39-8,0.2384,NA
1221,B39-9,0.109,NA
1222,B39-10,0.2228,NA
1224,B39-12,0.2941,NA
1225,B40-1,0.0216,NA
1226,B40-2,0.0073,NA
1227,B40-3,0.0367,NA
1229,B40-5,0.0084,NA
1230,B40-6,0.0749,NA
1231,B40-7,0.084,NA
1232,B40-8,0.0487,NA
1233,B40-9,0.0231,NA
1234,B40-10,0.0361,NA
1235,B40-11,0.0607,NA
1236,B40-12,0.024,NA
1237,B41-1,0.1022,NA
1238,B41-2,0.0454,NA
1239,B41-3,0.1542,NA
1240,B41-4,0.0605,NA
1241,B41-5,0.0505,NA
1242,B41-6,0.0308,NA
1243,B41-7,0.546,NA
1244,B41-8,0.0875,NA
1245,B41-9,0.061,NA
1246,B41-10,0.0891,NA
1247,B41-11,0.1812,NA
1248,B41-12,0.1968,NA
1249,B42-1,0.0471,NA
1250,B42-2,0.1201,NA
1251,B42-3,0.4207,NA
1252,B42-4,0.0772,NA
1253,B42-5,0.0766,NA
1254,B42-6,0.1649,NA
1256,B42-8,0.1495,NA
1257,B42-9,0.1377,NA
1258,B42-10,0.459,NA
1259,B42-11,0.2671,NA
1260,B42-12,0.1663,NA
1261,B43-1,0.1892,NA
1262,B43-2,0.1598,NA
1263,B43-3,0.163,NA
1264,B44-1,0.4153,NA
1265,B44-2,0.3655,NA
1266,B44-3,0.5382,NA
1267,B45-1,0.4351,NA
1268,B45-2,0.7206,NA
1269,B45-3,1.2229,NA
1270,B46-1,0.0927,NA
1271,B46-2,0.0826,NA
1272,B46-3,0.0756,NA
1273,B46-4,0.1285,NA
1274,B46-5,0.0925,NA
1275,B46-6,0.1283,NA
1276,B47-1,0.2641,NA
1277,B47-2,0.2065,NA
1278,B47-3,0.2681,NA
1279,B47-4,0.1684,NA
1280,B47-5,0.3233,NA
1281,B47-6,0.3296,NA
1282,B48-1,0.6248,NA
1283,B48-2,0.531,NA
1284,B48-3,0.4555,NA
1285,B48-4,0.307,NA
1286,B48-5,0.3255,NA
1287,B48-6,0.4041,NA
1288,B49-1,0.1151,NA
1289,B49-2,0.1008,NA
1290,B49-3,0.0992,NA
1291,B49-4,0.0661,NA
1292,B49-5,0.0637,NA
1293,B49-6,0.1007,NA
1294,B49-7,0.063,NA
1295,B49-8,0.0597,NA
1296,B49-9,0.1175,NA
1297,B50-1,0.2297,NA
1298,B50-2,0.165,NA
1299,B50-3,0.1576,NA
1300,B50-4,0.2363,NA
1301,B50-5,0.2295,NA
1302,B50-6,0.2136,NA
1303,B50-7,0.1851,NA
1304,B50-8,0.1274,NA
1305,B50-9,0.2641,NA
1306,B51-1,0.4228,NA
1307,B51-2,0.0903,NA
1308,B51-3,0.5429,NA
1309,B51-4,0.2283,NA
1310,B51-5,0.4027,NA
1311,B51-6,0.3699,NA
1313,B51-8,0.2883,NA
1314,B51-9,0.3108,NA
1315,B52-1,0.0653,NA
1316,B52-2,0.0601,NA
1317,B52-3,0.0331,NA
1318,B52-4,0.0582,NA
1319,B52-5,0.0373,NA
1320,B52-6,0.0493,NA
1321,B52-7,0.0461,NA
1322,B52-8,0.0637,NA
1323,B52-9,0.0585,NA
1324,B52-10,0.048,NA
1325,B52-11,0.0486,NA
1326,B52-12,0.1012,NA
1327,B53-1,0.0922,NA
1328,B53-2,0.213,NA
1329,B53-3,0.1589,NA
1330,B53-4,0.1063,NA
1331,B53-5,0.1516,NA
1332,B53-6,0.1204,NA
1333,B53-7,0.1659,NA
1334,B53-8,0.1083,NA
1335,B53-9,0.1159,NA
1336,B53-10,0.2213,NA
1337,B53-11,0.1821,NA
1338,B53-12,0.0676,NA
1339,B54-1,0.2625,NA
1340,B54-2,0.1873,NA
1341,B54-3,0.2641,NA
1343,B54-5,0.1807,NA
1344,B54-6,0.1781,NA
1345,B54-7,0.1771,NA
1346,B54-8,0.1996,NA
1347,B54-9,0.2764,NA
1348,B54-10,0.3631,NA
1349,B54-11,0.3393,NA
1350,B54-12,0.158,NA
1351,B55-1,0.0903,NA
1352,B55-2,0.0454,NA
1353,B55-3,0.0307,NA
1354,B55-4,0.0156,NA
1355,B55-5,0.0843,NA
1356,B55-6,0.1023,NA
1357,B56-1,0.2012,NA
1358,B56-2,0.0811,NA
1359,B56-3,0.0668,NA
1360,B56-4,0.3047,NA
1361,B56-5,0.059,NA
1362,B56-6,0.5926,NA
1363,B57-1,0.5185,NA
1364,B57-2,0.0861,NA
1365,B57-3,0.1066,NA
1366,B57-4,0.102,NA
1367,B57-5,0.5008,NA
1368,B57-6,0.5531,NA
1369,B58-1,0.0283,NA
1370,B58-2,0.1248,NA
1371,B58-3,0.0168,NA
1372,B58-4,0.0816,NA
1373,B58-5,0.0535,NA
1374,B58-6,0.0183,NA
1375,B58-7,0.0599,NA
1376,B58-8,0.0852,NA
1377,B58-9,0.0795,NA
1378,B59-1,0.1834,NA
1379,B59-2,0.0312,NA
1380,B59-3,0.1985,NA
1381,B59-4,0.2051,NA
1382,B59-5,0.1485,NA
1383,B59-6,0.2418,NA
1384,B59-7,0.2556,NA
1385,B59-8,0.0973,NA
1386,B59-9,0.0836,NA
1387,B60-1,0.1608,NA
1388,B60-2,0.2801,NA
1389,B60-3,0.4811,NA
1390,B60-4,0.1332,NA
1391,B60-5,0.2017,NA
1392,B60-6,0.1693,NA
1393,B60-7,0.0457,NA
1394,B60-8,0.227,NA
1395,B60-9,0.3113,NA
1396,B61-1,0.0616,NA
1397,B61-2,0.0547,NA
1398,B61-3,0.0109,NA
1399,B61-4,0.0555,NA
1400,B61-5,0.057,NA
1401,B61-6,0.0117,NA
1402,B61-7,0.0621,NA
1403,B61-8,0.0646,NA
1404,B61-9,0.0197,NA
1405,B61-10,0.0912,NA
1406,B61-11,0.1091,NA
1407,B61-12,0.0632,NA
1408,B62-1,0.0576,NA
1409,B62-2,0.0497,NA
1410,B62-3,0.1342,NA
1411,B62-4,0.1334,NA
1412,B62-5,0.1422,NA
1413,B62-6,0.065,NA
1414,B62-7,0.2151,NA
1415,B62-8,0.2593,NA
1416,B62-9,0.1752,NA
1417,B62-10,0.29,NA
1418,B62-11,0.2713,NA
1419,B62-12,0.1881,NA
1420,B63-1,0.1615,NA
1421,B63-2,0.2417,NA
1422,B63-3,0.13,NA
1423,B63-4,0.2588,NA
1424,B63-5,0.2382,NA
1425,B63-6,0.2461,NA
1426,B63-7,0.2336,NA
1427,B63-8,0.1843,NA
1428,B63-9,0.0363,NA
1429,B63-10,0.3183,NA
1430,B63-11,0.0254,NA
1431,B63-12,0.10567,NA
1432,B64-1,0.0967,NA
1433,B64-2,0.0291,NA
1434,B64-3,0.0308,NA
1435,B64-4,0.0223,NA
1436,B64-5,0.0823,NA
1437,B64-6,0.0143,NA
1438,B64-7,0.0242,NA
1439,B64-8,0.0382,NA
1440,B64-9,0.1609,NA
1441,B65-1,0.1196,NA
1442,B65-2,0.2308,NA
1443,B65-3,0.0784,NA
1444,B65-4,0.0761,NA
1445,B65-5,0.1067,NA
1446,B65-6,0.2037,NA
1447,B65-7,0.0578,NA
1448,B65-8,0.0584,NA
1449,B65-9,0.4215,NA
1450,B66-1,0.1274,NA
1451,B66-2,0.1234,NA
1452,B66-3,0.1091,NA
1453,B66-4,0.2842,NA
1454,B66-5,0.6044,NA
1455,B66-6,0.1354,NA
1456,B66-7,0.502,NA
1457,B66-8,0.0992,NA
1458,B66-9,0.0634,NA
1459,B67-1,0.1595,NA
1460,B67-2,0.0915,NA
1461,B67-3,0.0644,NA
1462,B67-4,0.0481,NA
1463,B67-5,0.0244,NA
1464,B67-6,0.0989,NA
1465,B67-7,0.0176,NA
1466,B67-8,0.0592,NA
1467,B67-9,0.0111,NA
1468,B67-10,0.0175,NA
1469,B67-11,0.022,NA
1470,B67-12,0.0146,NA
1471,B68-1,0.0654,NA
1472,B68-2,0.0736,NA
1473,B68-3,0.0499,NA
1474,B68-4,0.1425,NA
1475,B68-5,0.1449,NA
1476,B68-6,0.1874,NA
1477,B68-7,0.1024,NA
1478,B68-8,0.0396,NA
1479,B68-9,0.078,NA
1480,B68-10,0.0794,NA
1481,B68-11,0.1444,NA
1482,B68-12,0.2212,NA
1483,B69-1,0.2817,NA
1484,B69-2,0.4638,NA
1485,B69-3,0.1032,NA
1486,B69-4,0.0711,NA
1487,B69-5,0.0817,NA
1488,B69-6,0.0955,NA
1489,B69-7,0.0511,NA
1490,B69-8,0.2835,NA
1491,B69-9,0.2429,NA
1492,B69-10,0.3605,NA
1493,B69-11,0.2747,NA
1494,B69-12,0.0502,NA
1495,B70-1,0.0343,NA
1496,B70-2,0.0784,NA
1497,B70-3,0.02,NA
1498,B70-4,0.019,NA
1499,B70-5,0.0248,NA
1500,B70-6,0.0326,NA
1502,B70-8,0.0366,NA
1504,B70-10,0.0993,NA
1505,B70-11,0.018,NA
1506,B70-12,0.0285,NA
1507,B71-1,0.0441,NA
1508,B71-2,0.0767,NA
1509,B71-3,0.0455,NA
1510,B71-4,0.0834,NA
1511,B71-5,0.3013,NA
1512,B71-6,0.0484,NA
1513,B71-7,0.0555,NA
1514,B71-8,0.2114,NA
1515,B71-9,0.0901,NA
1516,B71-10,0.0371,NA
1517,B71-11,0.0887,NA
1518,B71-12,0.1102,NA
1519,B72-1,0.1493,NA
1520,B72-2,0.5894,NA
1521,B72-3,0.4106,NA
1522,B72-4,0.0498,NA
1523,B72-5,0.1006,NA
1524,B72-6,0.2869,NA
1525,B72-7,0.0444,NA
1526,B72-8,0.0163,NA
1527,B72-9,0.1028,NA
1528,B72-10,0.1088,NA
1529,B72-11,0.0495,NA
1530,B72-12,0.2091,NA
1531,B73-1,0.1221,NA
1532,B73-2,0.1173,NA
1533,B73-3,0.0804,NA
1534,B74-1,0.4866,NA
1535,B74-2,0.4512,NA
1536,B74-3,0.475,NA
1537,B75-1,0.9464,NA
1538,B75-2,0.3777,NA
1539,B75-3,0.9398,NA
1540,B76-1,0.0708,NA
1541,B76-2,0.0347,NA
1542,B76-3,0.0711,NA
1543,B76-4,0.063,NA
1544,B76-5,0.064,NA
1545,B76-6,0.0584,NA
1546,B77-1,0.2871,NA
1547,B77-2,0.2303,NA
1548,B77-3,0.2752,NA
1549,B77-4,0.2511,NA
1550,B77-5,0.1749,NA
1551,B77-6,0.1341,NA
1552,B78-1,0.5182,NA
1553,B78-2,0.5094,NA
1554,B78-3,0.4577,NA
1555,B78-4,0.5911,NA
1556,B78-5,0.4645,NA
1557,B78-6,0.4287,NA
1558,B79-1,0.032,NA
1559,B79-2,0.0523,NA
1560,B79-3,0.0305,NA
1561,B79-4,0.0317,NA
1562,B79-5,0.0599,NA
1563,B79-6,0.0522,NA
1564,B79-7,0.0661,NA
1565,B79-8,0.0242,NA
1566,B79-9,0.035,NA
1567,B80-1,0.1014,NA
1568,B80-2,0.2109,NA
1569,B80-3,0.1247,NA
1570,B80-4,0.2155,NA
1571,B80-5,0.1586,NA
1572,B80-6,0.1391,NA
1573,B80-7,0.1331,NA
1574,B80-8,0.2444,NA
1575,B80-9,0.1185,NA
1576,B81-1,0.2951,NA
1577,B81-2,0.2497,NA
1578,B81-3,0.3156,NA
1579,B81-4,0.3783,NA
1580,B81-5,0.2981,NA
1581,B81-6,0.282,NA
1582,B81-7,0.5274,NA
1583,B81-8,0.1998,NA
1584,B81-9,0.4275,NA
1585,B82-1,0.0452,NA
1586,B82-2,0.0225,NA
1587,B82-3,0.0221,NA
1588,B82-4,0.0676,NA
1589,B82-5,0.0325,NA
1590,B82-6,0.0295,NA
1591,B82-7,0.0405,NA
1592,B82-8,0.0312,NA
1593,B82-9,0.0404,NA
1594,B82-10,0.0643,NA
1595,B82-11,0.0445,NA
1597,B83-1,0.0677,NA
1598,B83-2,0.1178,NA
1599,B83-3,0.1208,NA
1600,B83-4,0.1044,NA
1601,B83-5,0.1144,NA
1602,B83-6,0.0554,NA
1603,B83-7,0.0704,NA
1604,B83-8,0.1934,NA
1605,B83-9,0.0904,NA
1606,B83-10,0.1418,NA
1607,B83-11,0.1177,NA
1608,B83-12,0.0944,NA
1609,B84-1,0.4612,NA
1610,B84-2,0.0859,NA
1611,B84-3,0.2693,NA
1612,B84-4,0.2054,NA
1613,B84-5,0.1559,NA
1614,B84-6,0.2465,NA
1615,B84-7,0.1803,NA
1616,B84-8,0.1564,NA
1617,B84-9,0.2662,NA
1618,B84-10,0.1787,NA
1619,B84-11,0.4764,NA
1620,B84-12,0.408,NA
1621,B85-1,0.0789,NA
1622,B85-2,0.0667,NA
1623,B85-3,0.0462,NA
1624,B85-4,0.0517,NA
1625,B85-5,0.0445,NA
1626,B85-6,0.0452,NA
1627,B86-1,0.1435,NA
1628,B86-2,0.2002,NA
1629,B86-3,0.205,NA
1630,B86-4,0.1294,NA
1631,B86-5,0.2636,NA
1632,B86-6,0.2184,NA
1633,B87-1,0.4752,NA
1634,B87-2,0.4458,NA
1635,B87-3,0.274,NA
1636,B87-4,0.2562,NA
1637,B87-5,0.3928,NA
1638,B87-6,0.4699,NA
1639,B88-1,0.04,NA
1640,B88-2,0.0792,NA
1641,B88-3,0.0271,NA
1642,B88-4,0.0367,NA
1643,B88-5,0.0333,NA
1644,B88-6,0.0312,NA
1645,B88-7,0.0443,NA
1646,B88-8,0.0306,NA
1647,B88-9,0.0292,NA
1648,B89-1,0.1684,NA
1649,B89-2,0.1127,NA
1650,B89-3,0.1326,NA
1652,B89-5,0.1847,NA
1653,B89-6,0.1357,NA
1654,B89-7,0.0835,NA
1655,B89-8,0.2088,NA
1656,B89-9,0.1916,NA
1657,B90-1,0.2952,NA
1658,B90-2,0.2256,NA
1659,B90-3,0.2207,NA
1660,B90-4,0.2362,NA
1661,B90-5,0.2849,NA
1662,B90-6,0.3434,NA
1663,B90-7,0.1905,NA
1664,B90-8,0.3538,NA
1665,B90-9,0.2863,NA
1666,B91-1,0.0324,NA
1667,B91-2,0.0142,NA
1668,B91-3,0.0418,NA
1669,B91-4,0.0223,NA
1670,B91-5,0.0306,NA
1671,B91-6,0.0247,NA
1672,B91-7,0.0122,NA
1673,B91-8,0.0383,NA
1674,B91-9,0.0469,NA
1675,B91-10,0.0218,NA
1676,B91-11,0.0523,NA
1677,B91-12,0.0332,NA
1678,B92-1,0.1006,NA
1679,B92-2,0.1313,NA
1680,B92-3,0.1206,NA
1681,B92-4,0.0786,NA
1682,B92-5,0.0883,NA
1683,B92-6,0.066,NA
1684,B92-7,0.0616,NA
1685,B92-8,0.0902,NA
1686,B92-9,0.1387,NA
1687,B92-10,0.0762,NA
1688,B92-11,0.0975,NA
1689,B92-12,0.1297,NA
1690,B93-1,0.1719,NA
1691,B93-2,0.1838,NA
1692,B93-3,0.2266,NA
1693,B93-4,0.1194,NA
1695,B93-6,0.1833,NA
1696,B93-7,0.2566,NA
1697,B93-8,0.1208,NA
1698,B93-9,0.1649,NA
1699,B93-10,0.1499,NA
1700,B93-11,0.2045,NA
1701,B93-12,0.2753,NA
1702,B94-1,0.0356,NA
1703,B94-2,0.0438,NA
1704,B94-3,0.0496,NA
1705,B94-4,0.0227,NA
1706,B94-5,0.0658,NA
1707,B94-6,0.0491,NA
1708,B94-7,0.0223,NA
1709,B94-8,0.0523,NA
1710,B94-9,0.0432,NA
1711,B95-1,0.1987,NA
1712,B95-2,0.1398,NA
1713,B95-3,0.0647,NA
1714,B95-4,0.1011,NA
1715,B95-5,0.0662,NA
1716,B95-6,0.1557,NA
1717,B95-7,0.0987,NA
1719,B95-9,0.1258,NA
1720,B96-1,0.1088,NA
1721,B96-2,0.3046,NA
1722,B96-3,0.2262,NA
1723,B96-4,0.2433,NA
1724,B96-5,0.2929,NA
1725,B96-6,0.235,NA
1726,B96-7,0.2593,NA
1727,B96-8,0.2445,NA
1728,B96-9,0.2148,NA
1729,B97-1,0.0242,NA
1731,B97-3,0.0191,NA
1732,B97-4,0.0152,NA
1733,B97-5,0.0134,NA
1734,B97-6,0.0116,NA
1735,B97-7,0.0195,NA
1736,B97-8,0.0355,NA
1737,B97-9,0.016,NA
1738,B97-10,0.0243,NA
1739,B97-11,0.0234,NA
1740,B97-12,0.0303,NA
1741,B98-1,0.1295,NA
1742,B98-2,0.1124,NA
1743,B98-3,0.1357,NA
1744,B98-4,0.0981,NA
1745,B98-5,0.099,NA
1746,B98-6,0.0814,NA
1747,B98-7,0.068,NA
1748,B98-8,0.0897,NA
1749,B98-9,0.1166,NA
1750,B98-10,0.0421,NA
1751,B98-11,0.0788,NA
1752,B98-12,0.1802,NA
1753,B99-1,0.1477,NA
1754,B99-2,0.1945,NA
1755,B99-3,0.0946,NA
1756,B99-4,0.1399,NA
1757,B99-5,0.0757,NA
1758,B99-6,0.29,NA
1759,B99-7,0.2127,NA
1760,B99-8,0.1719,NA
1761,B99-9,0.205,NA
1762,B99-10,0.2536,NA
1763,B99-11,0.0976,NA
1764,B99-12,0.2338,NA
1765,B100-1,0.0478,NA
1766,B100-2,0.0184,NA
1767,B100-3,0.0392,NA
1768,B100-4,0.0348,NA
1769,B100-5,0.0373,NA
1770,B100-6,0.0114,NA
1771,B100-7,0.0112,NA
1772,B100-8,0.0361,NA
1773,B100-9,0.0307,NA
1774,B100-10,0.0379,NA
1775,B100-11,0.013,NA
1776,B100-12,0.0325,NA
1777,B101-1,0.1462,NA
1778,B101-2,0.0372,NA
1779,B101-3,0.0738,NA
1780,B101-4,0.0341,NA
1781,B101-5,0.0523,NA
1782,B101-6,0.0723,NA
1783,B101-7,0.0917,NA
1784,B101-8,0.0949,NA
1785,B101-9,0.0694,NA
1786,B101-10,0.083,NA
1787,B101-11,0.1158,NA
1788,B101-12,0.0772,NA
1789,B102-1,0.2431,NA
1790,B102-2,0.1559,NA
1791,B102-3,0.1006,NA
1792,B102-4,0.305,NA
1793,B102-5,0.2848,NA
1794,B102-6,0.1892,NA
1795,B102-7,0.1544,NA
1796,B102-8,0.1033,NA
1797,B102-9,0.1703,NA
1798,B102-10,0.1675,NA
1799,B102-11,0.1899,NA
1800,B102-12,0.0548,NA
1801,C1-1,0.1425,NA
1802,C1-2,0.0427,NA
1803,C1-3,0.1248,NA
1804,C2-1,0.4109,NA
1805,C2-2,0.2839,NA
1806,C2-3,0.183,NA
1807,C3-1,0.8496,NA
1808,C3-2,0.2107,NA
1809,C3-3,0.7933,NA
1810,C4-1,0.0661,NA
1811,C4-2,0.0366,NA
1812,C4-3,0.0556,NA
1813,C4-4,0.0774,NA
1814,C4-5,0.0486,NA
1815,C4-6,0.0452,NA
1816,C5-1,0.101,NA
1817,C5-2,0.1036,NA
1818,C5-3,0.0908,NA
1819,C5-4,0.2605,NA
1820,C5-5,0.137,NA
1821,C5-6,0.2263,NA
1822,C6-1,0.4779,NA
1823,C6-2,0.2073,NA
1824,C6-3,0.1991,NA
1825,C6-4,0.0953,NA
1826,C6-5,0.291,NA
1827,C6-6,0.128,NA
1828,C7-1,0.0251,NA
1829,C7-2,0.0134,NA
1830,C7-3,0.0273,NA
1831,C7-4,0.06,NA
1832,C7-5,0.0295,NA
1833,C7-6,0.036,NA
1834,C7-7,0.0255,NA
1835,C7-8,0.0339,NA
1836,C7-9,0.0534,NA
1837,C8-1,0.1585,NA
1838,C8-2,0.0504,NA
1839,C8-3,0.1008,NA
