seedling_id,sample_id,leaf_id,leaf_area_cm2,leaf_perimeter_cm,area_notes
1981,C25-1,1,3.946,23.422,
1981,C25-1,2,2.442,11.213,
1985,C25-5,1,2.994,22.656,
1985,C25-5,2,3.13,21.129,
1996,C27-4,1,11.592,30.614,
1996,C27-4,2,12.449,32.926,Image poorly focused
1996,C27-4,3,16.283,49.516,
1991,C26-5,1,3.547,26.067,
1991,C26-5,2,3.798,26.815,
1991,C26-5,3,4.912,30.511,
1992,C26-6,1,9.594,35.278,
1992,C26-6,2,5.685,23.555,
1992,C26-6,3,6.069,25.611,
1997,C27-5,1,5.158,27.5,
1997,C27-5,2,6.414,30.977,
2092,C37-4,1,2.046,12.554,
2092,C37-4,2,2.311,11.737,
2095,C37-7,1,1.836,18.729,Image poorly focused
2095,C37-7,2,1.934,16.458,
2106,C38-6,1,4.151,31.012,
2106,C38-6,2,3.817,27.203,
2108,C38-8,1,3.97,27.354,
2108,C38-8,2,2.604,16.282,
2108,C38-8,3,2.457,12.898,
2121,C39-9,1,9.812,46.223,
2121,C39-9,2,9.205,40.706,
2173,C46-4,1,2.492,19.224,
2173,C46-4,2,1.341,9.801,
